track.name,name,song_id
Like a Rolling Stone,Bob Dylan,3AhXZa8sUQht0UEdBJgpGc
Smells Like Teen Spirit,Nirvana,3oTlkzk1OtrhH8wBAduVEi
A Day In The Life - Remastered,The Beatles,3ZFBeIyP41HhnALjxWy1pR
Good Vibrations (Mono),The Beach Boys,5Qt4Cc66g24QWwGP3YYV9y
Johnny B Goode,Chuck Berry,7MH2ZclofPlTrZOkPzZKhK
Respect,Aretha Franklin,7s25THrKz86DM225dOYwnr
Be My Baby,The Ronettes,2G2YzndIA6jeWFPBXhUjh5
What's Going On,Marvin Gaye,0UAu4pJ44T9X2AmaUh1hHO
I Heard It Through The Grapevine,Marvin Gaye,27m1soUndRthrAA1ediOXn
(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,The Rolling Stones,7fSGbZLhWlAiCC3HDPAULu
Billie Jean,Michael Jackson,5ChkMS8OtdzJeqyybCc9R5
Heartbreak Hotel,Elvis Presley,3T99MhhnbWTqo0Bj5lyuP8
Born to Run,Bruce Springsteen,4mC6yZvp9zfzp21IuLAPGD
My Generation - Original Mono Version,The Who,6UdCTwbVAvNqbWyZKZiRWL
Love Will Tear Us Apart,Joy Division,2JO3HwMRPeya8bXbtbyPcf
God Only Knows - Mono,The Beach Boys,6iGU74CwXuT4XVepjc9Emf
(Sittin' On) the Dock of the Bay,Otis Redding,4Y4Gd3ty8uut6Qw43c7yJc
Hey Ya! - Radio Mix / Club Mix,Outkast,5WQ1hIc5d2EVbRQ8qsj8Uh
Anarchy In The UK - Remastered 2012,Sex Pistols,3JS4Guc7Hld2JomrBybQIt
Paper Planes,M.I.A.,5QlGALr14YMN0xIDmIwleg
London Calling,The Clash,5BXoDYim9Upsv8dsuSJQPa
Sympathy For The Devil,The Rolling Stones,4sFbojhVXQv7dBC9PVCcRn
Strawberry Fields Forever - Remastered,The Beatles,5EuraV2jbqB15ihd3d2Hex
Tutti Frutti,Little Richard,3Os0VNtvEnRFlXSK5dvOFu
Stairway To Heaven,Led Zeppelin,0AJ62x1CXjJf3VW25CeZXa
The Message (feat. Melle Mel & Duke Bootee),Grandmaster Flash & The Furious Five,5DuTNKFEjJIySAyJH1yNDU
The Message (feat. Melle Mel & Duke Bootee),Grandmaster Melle Mel,5DuTNKFEjJIySAyJH1yNDU
The Message (feat. Melle Mel & Duke Bootee),Duke Bootee,5DuTNKFEjJIySAyJH1yNDU
What'd I Say,Ray Charles,21WrPeWVmWWBAx0dXYck9L
Imagine - Remastered 2010,John Lennon,7pKfPomDEeI4TPT6EOYjn9
A Change Is Gonna Come,Sam Cooke,0RFKuagqUgR4X8C1QneCCq
Heroes - 1999 Remaster,David Bowie,5j6ZZwA9BnxZi5Bk0Ng4jB
When Doves Cry,Prince,51H2y6YrNNXcy3dfc3qSbA
Superstition,Stevie Wonder,1kryOQS9FQDsbYY4db5zS5
Common People,Pulp,0LEoCPq4QlV2h41Fm5ENJ3
Gimme Shelter,The Rolling Stones,1dv3ePjze9tPq2pk8eWJdR
Strange Fruit,Billie Holiday,2sq8Rz7pspqExxUF0gPaJ7
You Really Got Me,The Kinks,4CZn7RvBSLun4ropg0UNZV
Crazy In Love (feat. Jay-Z),Beyoncé,5IVuqXILoxVWvWEPm82Jxr
Crazy In Love (feat. Jay-Z),JAY-Z,5IVuqXILoxVWvWEPm82Jxr
Seven Nation Army,The White Stripes,3m6KkYKdnbffMpGd9Pm9FP
Losing My Religion,R.E.M.,74EV0g12ihUoOUXMprFpZB
God Save The Queen,Sex Pistols,2mHchPRtQWet3iIS3jANr1
Bohemian Rhapsody - Remastered 2011,Queen,1AhDOtG9vPSOmsWgNW0BEY
Blue Monday,New Order,6tzeMSH4TRGBTzdNvbF5hr
Purple Haze,Jimi Hendrix,0wJoRiX5K5BxlqZTolB2LD
Louie Louie,The Kingsmen,0iA3xXSkSCiJywKyo1UKjQ
I Want You Back,The Jackson 5,3b0EOvScbZUc0qJx0E1L2z
Crazy,Gnarls Barkley,1vxw6aYJls2oq3gW0DujAo
You've Lost That Lovin' Feelin' - Single Version,The Righteous Brothers,3no0tiiQldD3LnsxwVtnnk
Hey Jude - Remastered,The Beatles,0eY0YgyLAZ4gtM57wwYN7H
Waterloo Sunset - Stereo,The Kinks,784WsZD4irVO0PA5NCZbTi
Take Me Out,Franz Ferdinand,7kw6yVmdZGuRcWGi4adXYT
Get Ur Freak On,Missy Elliott,13KEdaWIc7T6ozEmnJjHy1
That'll Be the Day,Buddy Holly & The Crickets,0AeYLiUH4QIEp7I8yrXyUo
Light My Fire,The Doors,5uvosCdMlFdTXhoazkTI5R
I Feel Love,Donna Summer,2WzEWQN3dI5rQSYH1y4FLM
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,0WQiDwKJclirSYG9v5tayI
Space Oddity - 2009 Remastered Version,David Bowie,3sb66av9ZpdI1JmPDHVa18
Stand by Me,Ben E. King,7jmHyHMEqm9MJWiMAneF05
Mr. Tambourine Man,The Byrds,2HCaIYjkvWSZzaSKUoOh3d
Bitter Sweet Symphony,The Verve,5yEPxDjbbzUzyauGtnmVEC
(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,7oDq6PidL34An1VqTQUd5o
Layla - 40th Anniversary Version / 2010 Remastered,Derek & The Dominos,5kmbjtL6Q6zkATdc02JJHv
River Deep - Mountain High,Ike & Tina Turner,4psjgB5e5HIuUeSVbEUY64
Unfinished Sympathy,Massive Attack,7cFfFVVubc4K5qB0jGyguY
Loser,Beck,4b8GTae6rqb9oPiRzVa3Gy
Fight The Power,Public Enemy,26zWdOUpB6P9E9OtQQc0qp
Once in a Lifetime - 2005 Remaster,Talking Heads,38Ngied9rBORlAbLYNCl4k
Paranoid Android,Radiohead,0LTZD4vTsp0EN1wXatc9IR
Whole Lotta Love - Remaster,Led Zeppelin,49Y7HyMsxQegZqry19Ev9N
Alright,Kendrick Lamar,3iVcZ5G6tvkXZkZKlMpIUs
House of the Rising Sun,The Animals,3XC7Jd6SfrQYKZJ6inyRHK
Walk on the Wild Side,Lou Reed,0EFEkt29P7Icr7dO4vN6yk
Hotel California,Eagles,1yFTRoAbHkziFCd8WP3Fv4
99 Problems,JAY-Z,1l6DvDFssUqMnsFJNFnrRJ
Dancing On My Own,Robyn,7lItUx11Vl9heRR9H68h2M
Formation,Beyoncé,6g0Orsxv6glTJCt4cHsRsQ
Let's Stay Together,Al Green,00P1T28MyzQJbj3tn9tTUp
Jumpin' Jack Flash,The Rolling Stones,5FMlUJ6wd2aN0lkdlRrEtH
All My Friends,LCD Soundsystem,2Ud3deeqLAG988pfW0Kwcl
California Dreamin',The Mamas & The Papas,63rva3TBizr6x1Yp5uwKfD
Blitzkrieg Bop - 2001 Remaster,Ramones,2hrF1aiAFGa7bWgt2qhyrc
Dancing In The Street,Martha Reeves & The Vandellas,6TPl5DQrkBY2XIqIaFmxqi
Hound Dog,Elvis Presley,0rfZ0RTGqRSCQF1LcOuzEy
Oblivion,Grimes,2RtNSM8cPCAOZ5bvQbW6y3
I Want To Hold Your Hand - Remastered,The Beatles,3JueJBdcGQaEAaWqPamsQt
All Along the Watchtower,Jimi Hendrix,2aoo2jlRnM3A0NyLQqMN2f
Nothing Compares 2 U,Sinéad O'Connor,4j6Hkosuk9xHcowXjtwefs
How Soon Is Now? - 2011 Remaster,The Smiths,1YrnDTqvcnUKxAIeXyaEmU
Sweet Child O' Mine,Guns N' Roses,5r9AgnhkPQXeKG1w5rauDq
For What It's Worth,Buffalo Springfield,1qRA5BS78u3gME0loMl9AA
The Weight - Remastered,The Band,0sDqo9UPzPUtu9wEkI3zRB
Runaway,Kanye West,0jOL63hLMeSCHTXPdFkniq
Runaway,Pusha T,0jOL63hLMeSCHTXPdFkniq
Ghost Town - Extended Version,The Specials,5jSQJ9n4kScujfTwDEtyC2
Royals,Lorde,2dLLR6qlu5UJ5gk0dKz0h3
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk,2Foc5Q5nqNiosCNqttzHof
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Pharrell Williams,2Foc5Q5nqNiosCNqttzHof
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Nile Rodgers,2Foc5Q5nqNiosCNqttzHof
Suspicious Minds,Elvis Presley,0pQBojXn2OhjSKGdlyknvc
Life On Mars? - 1999 Remastered Version,David Bowie,1C9NuEa1wOF15EOBuWaaxS
Life On Mars? - 1999 Remastered Version,Ken Scott,1C9NuEa1wOF15EOBuWaaxS
Reach Out I'll Be There - Single Version / Mono,Four Tops,2VwRmAIjgmwNPDh4eMK1EH
That's All Right Mama,Elvis Presley,38xhKLmi4SqnKMZy4ySBkD
Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,James Brown,1qvY84PQZYJ6ZLhQ9DEl2R
Wonderwall,Oasis,5bj4hb0QYTs44PDiwbI5CS
Heroin,The Velvet Underground,2SdDQZ4WupgDZP6eykOHHY
Heroin,Nico,2SdDQZ4WupgDZP6eykOHHY
Whole Lotta Shakin' Goin' On,Jerry Lee Lewis,3LUHtV6F7IHAOognkvcEKv
Thunder Road,Bruce Springsteen,556BL7XJ7PFXX8r3ozKYVa
One,U2,3PY7bg1gPZIurkWnRguKUF
I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground,0zggnUZPh8kg69Jm7w7zZs
I'm Waiting For The Man - Album Version (Stereo),Nico,0zggnUZPh8kg69Jm7w7zZs
The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles,03uYIIUyvxk5kiCSltOTcZ
Yesterday - Remastered,The Beatles,1e0hllQ23AG0QGFgezgLOq
Dancing Queen,ABBA,01iyCAUm8EvOFqVWYJ3dVX
Summertime Blues,Eddie Cochran,2wwRSaZgshcHSvGzWryUIi
This Charming Man - 2011 Remaster,The Smiths,1FvDJ9KGxcqwv1utyPL3JZ
Blue Suede Shoes,Carl Perkins,1EJovYCU4hrSNlnExSqGnK
Good Times,CHIC,0G3fbPbE1vGeABDEZF0jeG
Pyramids,Frank Ocean,0rbK15g3UsDTVy1EuwgKYz
My Girl - Single Version/Mono,The Temptations,4jfmXzc1eCFIVvIVAkH4Fo
Paint It Black,The Rolling Stones,78Az0Z1vNJgqv9QSB0ULLV
Video Games,Lana Del Rey,0fBSs3fRoh1yJcne77fdu9
Rehab,Amy Winehouse,19z17doSqEhhm4aidrUHIB
Rapper's Delight - Long Version,The Sugarhill Gang,0RxphrRef802DdWKfTZiVG
The Sound of Silence - Electric Version,Simon & Garfunkel,2YplrdHMBoRdnHgMeHEwHm
Fortunate Son,Creedence Clearwater Revival,7I2lPuuiOkpKtZlhr4zUpT
Papa's Got A Brand New Bag - Pt. 1,James Brown,3l1A0dujoxMkucGkNuq2Bu
Bridge over Troubled Water,Simon & Garfunkel,5p9CQanQtvRtss7e4MiEGe
"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers,2mKsPUojh602HvSeNt04CB
Proud Mary,Creedence Clearwater Revival,2IpMp3t9JrTiyrEVy2WlbU
Every Breath You Take - Remastered 2003,The Police,5C0LFQARavkPpn7JgA4sLk
Maybellene - Single Version,Chuck Berry,0cSXmUJMM7RNgkjaFblWPt
A Whiter Shade Of Pale,Procol Harum,4pMhwgF4a3R61AjEc9AbEh
Midnight City,M83,4kO7mrAPfqIrsKwUOK5BFx
Losing My Edge,LCD Soundsystem,1XlDNpWy8dyEljyRd0RC2J
I'm So Lonesome I Could Cry - Single Version,Hank Williams,3l49MeO0nNZhBj1IfYWB5w
